ICD10,ICD10 Name,USCOD,USCOD name,
O99.1 ,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.2 ,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.3 ,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.4 ,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.5 ,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.6 ,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.7 ,"Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O99.8 ,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium ",A_3,Maternal Conditions,
O00-O99,"Pregnancy, childbirth and the puerperium",,,
P00 ,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy ,A_4,Perinatal Conditions,
P00.0 ,Fetus and newborn affected by maternal hypertensive disorders ,A_4,Perinatal Conditions,
P00.1 ,Fetus and newborn affected by maternal renal and urinary tract diseases ,A_4,Perinatal Conditions,
P00.2 ,Fetus and newborn affected by maternal infectious and parasitic diseases ,A_4,Perinatal Conditions,
P00.3 ,Fetus and newborn affected by other maternal circulatory and respiratory diseases ,A_4,Perinatal Conditions,
P00.4 ,Fetus and newborn affected by maternal nutritional disorders ,A_4,Perinatal Conditions,
P00.5 ,Fetus and newborn affected by maternal injury ,A_4,Perinatal Conditions,
P00.6 ,Fetus and newborn affected by surgical procedure on mother ,A_4,Perinatal Conditions,
P00.7 ,"Fetus and newborn affected by other medical procedures on mother, not elsewhere classified ",A_4,Perinatal Conditions,
P00.8 ,Fetus and newborn affected by other maternal conditions ,A_4,Perinatal Conditions,
P00.9 ,Fetus and newborn affected by unspecified maternal condition ,A_4,Perinatal Conditions,
P01 ,Fetus and newborn affected by maternal complications of pregnancy ,A_4,Perinatal Conditions,
P01.0 ,Fetus and newborn affected by incompetent cervix ,A_4,Perinatal Conditions,
P01.1 ,Fetus and newborn affected by premature rupture of membranes ,A_4,Perinatal Conditions,
P01.2 ,Fetus and newborn affected by oligohydramnios ,A_4,Perinatal Conditions,
P01.3 ,Fetus and newborn affected by polyhydramnios ,A_4,Perinatal Conditions,
P01.4 ,Fetus and newborn affected by ectopic pregnancy ,A_4,Perinatal Conditions,
P01.5 ,Fetus and newborn affected by multiple pregnancy ,A_4,Perinatal Conditions,
P01.6 ,Fetus and newborn affected by maternal death ,A_4,Perinatal Conditions,
P01.7 ,Fetus and newborn affected by malpresentation before labour ,A_4,Perinatal Conditions,
P01.8 ,Fetus and newborn affected by other maternal complications of pregnancy ,A_4,Perinatal Conditions,
P01.9 ,"Fetus and newborn affected by maternal complication of pregnancy, unspecified ",A_4,Perinatal Conditions,
P02 ,"Fetus and newborn affected by complications of placenta, cord and membranes ",A_4,Perinatal Conditions,
P02.0 ,Fetus and newborn affected by placenta praevia ,A_4,Perinatal Conditions,
P02.1 ,Fetus and newborn affected by other forms of placental separation and haemorrhage ,A_4,Perinatal Conditions,
P02.2 ,Fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta ,A_4,Perinatal Conditions,
P02.3 ,Fetus and newborn affected by placental transfusion syndromes ,A_4,Perinatal Conditions,
P02.4 ,Fetus and newborn affected by prolapsed cord ,A_4,Perinatal Conditions,
P02.5 ,Fetus and newborn affected by other compression of umbilical cord ,A_4,Perinatal Conditions,
P02.6 ,Fetus and newborn affected by other and unspecified conditions of umbilical cord ,A_4,Perinatal Conditions,
P02.7 ,Fetus and newborn affected by chorioamnionitis ,A_4,Perinatal Conditions,
P02.8 ,Fetus and newborn affected by other abnormalities of membranes ,A_4,Perinatal Conditions,
P02.9 ,"Fetus and newborn affected by abnormality of membranes, unspecified ",A_4,Perinatal Conditions,
P03 ,Fetus and newborn affected by other complications of labour and delivery ,A_4,Perinatal Conditions,
P03.0 ,Fetus and newborn affected by breech delivery and extraction ,A_4,Perinatal Conditions,
P03.1 ,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery ",A_4,Perinatal Conditions,
P03.2 ,Fetus and newborn affected by forceps delivery ,A_4,Perinatal Conditions,
P03.3 ,Fetus and newborn affected by delivery by vacuum extractor [ventouse] ,A_4,Perinatal Conditions,
P03.4 ,Fetus and newborn affected by caesarean delivery ,A_4,Perinatal Conditions,
P03.5 ,Fetus and newborn affected by precipitate delivery ,A_4,Perinatal Conditions,
P03.6 ,Fetus and newborn affected by abnormal uterine contractions ,A_4,Perinatal Conditions,
P03.8 ,Fetus and newborn affected by other specified complications of labour and delivery ,A_4,Perinatal Conditions,
P03.9 ,"Fetus and newborn affected by complication of labour and delivery, unspecified ",A_4,Perinatal Conditions,
P04 ,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk ,A_4,Perinatal Conditions,
P04.0 ,"Fetus and newborn affected by maternal anaesthesia and analgesia in pregnancy, labour and delivery ",A_4,Perinatal Conditions,
P04.1 ,Fetus and newborn affected by other maternal medication ,A_4,Perinatal Conditions,
P04.2 ,Fetus and newborn affected by maternal use of tobacco ,A_4,Perinatal Conditions,
P04.3 ,Fetus and newborn affected by maternal use of alcohol ,A_4,Perinatal Conditions,
P04.4 ,Fetus and newborn affected by maternal use of drugs of addiction ,A_4,Perinatal Conditions,
P04.5 ,Fetus and newborn affected by maternal use of nutritional chemical substances ,A_4,Perinatal Conditions,
P04.6 ,Fetus and newborn affected by maternal exposure to environmental chemical substances ,A_4,Perinatal Conditions,
P04.8 ,Fetus and newborn affected by other maternal noxious influences ,A_4,Perinatal Conditions,
P04.9 ,"Fetus and newborn affected by maternal noxious influence, unspecified ",A_4,Perinatal Conditions,
P05 ,Slow fetal growth and fetal malnutrition ,A_4,Perinatal Conditions,
P05.0 ,Light for gestational age ,A_4,Perinatal Conditions,
P05.1 ,Small for gestational age ,A_4,Perinatal Conditions,
P05.2 ,Fetal malnutrition without mention of light or small for gestational age ,A_4,Perinatal Conditions,
P05.9 ,"Slow fetal growth, unspecified ",A_4,Perinatal Conditions,
P07 ,"Disorders related to short gestation and low birth weight, not elsewhere classified ",A_4,Perinatal Conditions,
P07.0 ,Extremely low birth weight ,A_4,Perinatal Conditions,
P07.1 ,Other low birth weight ,A_4,Perinatal Conditions,
P07.2 ,Extreme immaturity ,A_4,Perinatal Conditions,
P07.3 ,Other preterm infants ,A_4,Perinatal Conditions,
P08 ,Disorders related to long gestation and high birth weight ,A_4,Perinatal Conditions,
P08.0 ,Exceptionally large baby ,A_4,Perinatal Conditions,
P08.1 ,Other heavy for gestational age infants ,A_4,Perinatal Conditions,
P08.2 ,"Post-term infant, not heavy for gestational age ",A_4,Perinatal Conditions,
P10 ,Intracranial laceration and haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P10.0 ,Subdural haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P10.1 ,Cerebral haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P10.2 ,Intraventricular haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P10.3 ,Subarachnoid haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P10.4 ,Tentorial tear due to birth injury ,A_4,Perinatal Conditions,
P10.8 ,Other intracranial lacerations and haemorrhages due to birth injury ,A_4,Perinatal Conditions,
P10.9 ,Unspecified intracranial laceration and haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P11 ,Other birth injuries to central nervous system ,A_4,Perinatal Conditions,
P11.0 ,Cerebral oedema due to birth injury ,A_4,Perinatal Conditions,
P11.1 ,Other specified brain damage due to birth injury ,A_4,Perinatal Conditions,
P11.2 ,Unspecified brain damage due to birth injury ,A_4,Perinatal Conditions,
P11.3 ,Birth injury to facial nerve ,A_4,Perinatal Conditions,
P11.4 ,Birth injury to other cranial nerves ,A_4,Perinatal Conditions,
P11.5 ,Birth injury to spine and spinal cord ,A_4,Perinatal Conditions,
P11.9 ,"Birth injury to central nervous system, unspecified ",A_4,Perinatal Conditions,
P12 ,Birth injury to scalp ,A_4,Perinatal Conditions,
P12.0 ,Cephalhaematoma due to birth injury ,A_4,Perinatal Conditions,
P12.1 ,Chignon due to birth injury ,A_4,Perinatal Conditions,
P12.2 ,Epicranial subaponeurotic haemorrhage due to birth injury ,A_4,Perinatal Conditions,
P12.3 ,Bruising of scalp due to birth injury ,A_4,Perinatal Conditions,
P12.4 ,Monitoring injury of scalp of newborn ,A_4,Perinatal Conditions,
P12.8 ,Other birth injuries to scalp ,A_4,Perinatal Conditions,
P12.9 ,"Birth injury to scalp, unspecified ",A_4,Perinatal Conditions,
P13 ,Birth injury to skeleton ,A_4,Perinatal Conditions,
P13.0 ,Fracture of skull due to birth injury ,A_4,Perinatal Conditions,
P13.1 ,Other birth injuries to skull ,A_4,Perinatal Conditions,
P13.2 ,Birth injury to femur ,A_4,Perinatal Conditions,
P13.3 ,Birth injury to other long bones ,A_4,Perinatal Conditions,
P13.4 ,Fracture of clavicle due to birth injury ,A_4,Perinatal Conditions,
P13.8 ,Birth injuries to other parts of skeleton ,A_4,Perinatal Conditions,
P13.9 ,"Birth injury to skeleton, unspecified ",A_4,Perinatal Conditions,
P14 ,Birth injury to peripheral nervous system ,A_4,Perinatal Conditions,
P14.0 ,Erb's paralysis due to birth injury ,A_4,Perinatal Conditions,
P14.1 ,Klumpke's paralysis due to birth injury ,A_4,Perinatal Conditions,
P14.2 ,Phrenic nerve paralysis due to birth injury ,A_4,Perinatal Conditions,
P14.3 ,Other brachial plexus birth injuries ,A_4,Perinatal Conditions,
P14.8 ,Birth injuries to other parts of peripheral nervous system ,A_4,Perinatal Conditions,
P14.9 ,"Birth injury to peripheral nervous system, unspecified ",A_4,Perinatal Conditions,
P15 ,Other birth injuries ,A_4,Perinatal Conditions,
P15.0 ,Birth injury to liver ,A_4,Perinatal Conditions,
P15.1 ,Birth injury to spleen ,A_4,Perinatal Conditions,
P15.2 ,Sternomastoid injury due to birth injury ,A_4,Perinatal Conditions,
P15.3 ,Birth injury to eye ,A_4,Perinatal Conditions,
P15.4 ,Birth injury to face ,A_4,Perinatal Conditions,
P15.5 ,Birth injury to external genitalia ,A_4,Perinatal Conditions,
P15.6 ,Subcutaneous fat necrosis due to birth injury ,A_4,Perinatal Conditions,
P15.8 ,Other specified birth injuries ,A_4,Perinatal Conditions,
P15.9 ,"Birth injury, unspecified ",A_4,Perinatal Conditions,
P20 ,Intrauterine hypoxia ,A_4,Perinatal Conditions,
P20.0 ,Intrauterine hypoxia first noted before onset of labour ,A_4,Perinatal Conditions,
P20.1 ,Intrauterine hypoxia first noted during labour and delivery ,A_4,Perinatal Conditions,
P20.9 ,"Intrauterine hypoxia, unspecified ",A_4,Perinatal Conditions,
P21 ,Birth asphyxia ,A_4,Perinatal Conditions,
P21.0 ,Severe birth asphyxia ,A_4,Perinatal Conditions,
P21.1 ,Mild and moderate birth asphyxia ,A_4,Perinatal Conditions,
P21.9 ,"Birth asphyxia, unspecified ",A_4,Perinatal Conditions,
P22 ,Respiratory distress of newborn ,A_4,Perinatal Conditions,
P22.0 ,Respiratory distress syndrome of newborn ,A_4,Perinatal Conditions,
P22.1 ,Transient tachypnoea of newborn ,A_4,Perinatal Conditions,
P22.8 ,Other respiratory distress of newborn ,A_4,Perinatal Conditions,
P22.9 ,"Respiratory distress of newborn, unspecified ",A_4,Perinatal Conditions,
P23 ,Congenital pneumonia ,A_2,Respiratory Infections,
P23.0 ,Congenital pneumonia due to viral agent ,A_2,Respiratory Infections,
P23.1 ,Congenital pneumonia due to Chlamydia ,A_2,Respiratory Infections,
P23.2 ,Congenital pneumonia due to staphylococcus ,A_2,Respiratory Infections,
P23.3 ,"Congenital pneumonia due to streptococcus, group B ",A_2,Respiratory Infections,
P23.4 ,Congenital pneumonia due to Escherichia coli ,A_2,Respiratory Infections,
P23.5 ,Congenital pneumonia due to Pseudomonas ,A_2,Respiratory Infections,
P23.6 ,Congenital pneumonia due to other bacterial agents ,A_2,Respiratory Infections,
P23.8 ,Congenital pneumonia due to other organisms ,A_2,Respiratory Infections,
P23.9 ,"Congenital pneumonia, unspecified ",A_2,Respiratory Infections,
P24 ,Neonatal aspiration syndromes ,A_4,Perinatal Conditions,
P24.0 ,Neonatal aspiration of meconium ,A_4,Perinatal Conditions,
P24.1 ,Neonatal aspiration of amniotic fluid and mucus ,A_4,Perinatal Conditions,
P24.2 ,Neonatal aspiration of blood ,A_4,Perinatal Conditions,
P24.3 ,Neonatal aspiration of milk and regurgitated food ,A_4,Perinatal Conditions,
P24.8 ,Other neonatal aspiration syndromes ,A_4,Perinatal Conditions,
P24.9 ,"Neonatal aspiration syndrome, unspecified ",A_4,Perinatal Conditions,
P25 ,Interstitial emphysema and related conditions originating in the perinatal period ,A_4,Perinatal Conditions,
P25.0 ,Interstitial emphysema originating in the perinatal period ,A_4,Perinatal Conditions,
P25.1 ,Pneumothorax originating in the perinatal period ,A_4,Perinatal Conditions,
P25.2 ,Pneumomediastinum originating in the perinatal period ,A_4,Perinatal Conditions,
P25.3 ,Pneumopericardium originating in the perinatal period ,A_4,Perinatal Conditions,
P25.8 ,Other conditions related to interstitial emphysema originating in the perinatal period ,A_4,Perinatal Conditions,
P26 ,Pulmonary haemorrhage originating in the perinatal period ,A_4,Perinatal Conditions,
P26.0 ,Tracheobronchial haemorrhage originating in the perinatal period ,A_4,Perinatal Conditions,
P26.1 ,Massive pulmonary haemorrhage originating in the perinatal period ,A_4,Perinatal Conditions,
P26.8 ,Other pulmonary haemorrhages originating in the perinatal period ,A_4,Perinatal Conditions,
P26.9 ,Unspecified pulmonary haemorrhage originating in the perinatal period ,A_4,Perinatal Conditions,
P27 ,Chronic respiratory disease originating in the perinatal period ,A_4,Perinatal Conditions,
P27.0 ,Wilson-Mikity syndrome ,A_4,Perinatal Conditions,
P27.1 ,Bronchopulmonary dysplasia originating in the perinatal period ,A_4,Perinatal Conditions,
P27.8 ,Other chronic respiratory diseases originating in the perinatal period ,A_4,Perinatal Conditions,
P27.9 ,Unspecified chronic respiratory disease originating in the perinatal period ,A_4,Perinatal Conditions,
P28 ,Other respiratory conditions originating in the perinatal period ,A_4,Perinatal Conditions,
P28.0 ,Primary atelectasis of newborn ,A_4,Perinatal Conditions,
P28.1 ,Other and unspecified atelectasis of newborn ,A_4,Perinatal Conditions,
P28.2 ,Cyanotic attacks of newborn ,A_4,Perinatal Conditions,
P28.3 ,Primary sleep apnoea of newborn ,A_4,Perinatal Conditions,
P28.4 ,Other apnoea of newborn ,A_4,Perinatal Conditions,
P28.5 ,Respiratory failure of newborn ,A_4,Perinatal Conditions,
P28.8 ,Other specified respiratory conditions of newborn ,A_4,Perinatal Conditions,
P28.9 ,"Respiratory condition of newborn, unspecified ",A_4,Perinatal Conditions,
P29 ,Cardiovascular disorders originating in the perinatal period ,A_4,Perinatal Conditions,
P29.0 ,Neonatal cardiac failure ,A_4,Perinatal Conditions,
P29.1 ,Neonatal cardiac dysrhythmia ,A_4,Perinatal Conditions,
P29.2 ,Neonatal hypertension ,A_4,Perinatal Conditions,
P29.3 ,Persistent fetal circulation ,A_4,Perinatal Conditions,
P29.4 ,Transient myocardial ischaemia of newborn ,A_4,Perinatal Conditions,
P29.8 ,Other cardiovascular disorders originating in the perinatal period ,A_4,Perinatal Conditions,
P29.9 ,"Cardiovascular disorder originating in the perinatal period, unspecified ",A_4,Perinatal Conditions,
P35 ,Congenital viral diseases ,A_5,Other Communicable,
P35.0 ,Congenital rubella syndrome ,A_5,Other Communicable,
P35.1 ,Congenital cytomegalovirus infection ,A_5,Other Communicable,
P35.2 ,Congenital herpesviral [herpes simplex] infection ,A_5,Other Communicable,
P35.3 ,Congenital viral hepatitis ,A_5,Other Communicable,
P35.8 ,Other congenital viral diseases ,A_5,Other Communicable,
P35.9 ,"Congenital viral disease, unspecified ",A_5,Other Communicable,
P36 ,Bacterial sepsis of newborn ,A_4,Perinatal Conditions,
P36.0 ,"Sepsis of newborn due to streptococcus, group B ",A_4,Perinatal Conditions,
P36.1 ,Sepsis of newborn due to other and unspecified streptococci ,A_4,Perinatal Conditions,
P36.2 ,Sepsis of newborn due to Staphylococcus aureus ,A_4,Perinatal Conditions,
P36.3 ,Sepsis of newborn due to other and unspecified staphylococci ,A_4,Perinatal Conditions,
P36.4 ,Sepsis of newborn due to Escherichia coli ,A_4,Perinatal Conditions,
P36.5 ,Sepsis of newborn due to anaerobes ,A_4,Perinatal Conditions,
P36.8 ,Other bacterial sepsis of newborn ,A_4,Perinatal Conditions,
P36.9 ,"Bacterial sepsis of newborn, unspecified ",A_4,Perinatal Conditions,
P37 ,Other congenital infectious and parasitic diseases ,A_5,Other Communicable,
P37.0 ,Congenital tuberculosis ,A_1,HIV & Tuberculosis,
P37.1 ,Congenital toxoplasmosis ,A_5,Other Communicable,
P37.2 ,Neonatal (disseminated) listeriosis ,A_5,Other Communicable,
P37.3 ,Congenital falciparum malaria ,A_5,Other Communicable,
P37.4 ,Other congenital malaria ,A_5,Other Communicable,
P37.5 ,Neonatal candidiasis ,A_5,Other Communicable,
P37.8 ,Other specified congenital infectious and parasitic diseases ,A_5,Other Communicable,
P37.9 ,"Congenital infectious and parasitic disease, unspecified ",A_5,Other Communicable,
P38 ,Omphalitis of newborn with or without mild haemorrhage ,A_4,Perinatal Conditions,
P39 ,Other infections specific to the perinatal period ,A_4,Perinatal Conditions,
P39.0 ,Neonatal infective mastitis ,A_4,Perinatal Conditions,
P39.1 ,Neonatal conjunctivitis and dacryocystitis ,A_4,Perinatal Conditions,
P39.2 ,"Intra-amniotic infection of fetus, not elsewhere classified ",A_4,Perinatal Conditions,
P39.3 ,Neonatal urinary tract infection ,A_4,Perinatal Conditions,
P39.4 ,Neonatal skin infection ,A_4,Perinatal Conditions,
P39.8 ,Other specified infections specific to the perinatal period ,A_4,Perinatal Conditions,
P39.9 ,"Infection specific to the perinatal period, unspecified ",A_4,Perinatal Conditions,
P50 ,Fetal blood loss ,A_4,Perinatal Conditions,
P50.0 ,Fetal blood loss from vasa praevia ,A_4,Perinatal Conditions,
P50.1 ,Fetal blood loss from ruptured cord ,A_4,Perinatal Conditions,
P50.2 ,Fetal blood loss from placenta ,A_4,Perinatal Conditions,
P50.3 ,Haemorrhage into co-twin ,A_4,Perinatal Conditions,
P50.4 ,Haemorrhage into maternal circulation ,A_4,Perinatal Conditions,
P50.5 ,Fetal blood loss from cut end of co-twin's cord ,A_4,Perinatal Conditions,
P50.8 ,Other fetal blood loss ,A_4,Perinatal Conditions,
P50.9 ,"Fetal blood loss, unspecified ",A_4,Perinatal Conditions,
P51 ,Umbilical haemorrhage of newborn ,A_4,Perinatal Conditions,
P51.0 ,Massive umbilical haemorrhage of newborn ,A_4,Perinatal Conditions,
P51.8 ,Other umbilical haemorrhages of newborn ,A_4,Perinatal Conditions,
P51.9 ,"Umbilical haemorrhage of newborn, unspecified ",A_4,Perinatal Conditions,
P52 ,Intracranial nontraumatic haemorrhage of fetus and newborn ,A_4,Perinatal Conditions,
P52.0 ,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn ",A_4,Perinatal Conditions,
P52.1 ,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn ",A_4,Perinatal Conditions,
P52.2 ,"Intraventricular (nontraumatic) haemorrhage, grade 3, of fetus and newborn ",A_4,Perinatal Conditions,
P52.3 ,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn ,A_4,Perinatal Conditions,
P52.4 ,Intracerebral (nontraumatic) haemorrhage of fetus and newborn ,A_4,Perinatal Conditions,
P52.5 ,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn ,A_4,Perinatal Conditions,
P52.6 ,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn ,A_4,Perinatal Conditions,
P52.8 ,Other intracranial (nontraumatic) haemorrhages of fetus and newborn ,A_4,Perinatal Conditions,
P52.9 ,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified ",A_4,Perinatal Conditions,
P53 ,Haemorrhagic disease of fetus and newborn ,A_4,Perinatal Conditions,
P54 ,Other neonatal haemorrhages ,A_4,Perinatal Conditions,
P54.0 ,Neonatal haematemesis ,A_4,Perinatal Conditions,
P54.1 ,Neonatal melaena ,A_4,Perinatal Conditions,
P54.2 ,Neonatal rectal haemorrhage ,A_4,Perinatal Conditions,
P54.3 ,Other neonatal gastrointestinal haemorrhage ,A_4,Perinatal Conditions,
P54.4 ,Neonatal adrenal haemorrhage ,A_4,Perinatal Conditions,
P54.5 ,Neonatal cutaneous haemorrhage ,A_4,Perinatal Conditions,
P54.6 ,Neonatal vaginal haemorrhage ,A_4,Perinatal Conditions,
P54.8 ,Other specified neonatal haemorrhages ,A_4,Perinatal Conditions,
P54.9 ,"Neonatal haemorrhage, unspecified ",A_4,Perinatal Conditions,
P55 ,Haemolytic disease of fetus and newborn ,A_4,Perinatal Conditions,
P55.0 ,Rh isoimmunization of fetus and newborn ,A_4,Perinatal Conditions,
P55.1 ,ABO isoimmunization of fetus and newborn ,A_4,Perinatal Conditions,
P55.8 ,Other haemolytic diseases of fetus and newborn ,A_4,Perinatal Conditions,
P55.9 ,"Haemolytic disease of fetus and newborn, unspecified ",A_4,Perinatal Conditions,
P56 ,Hydrops fetalis due to haemolytic disease ,A_4,Perinatal Conditions,
P56.0 ,Hydrops fetalis due to isoimmunization ,A_4,Perinatal Conditions,
P56.9 ,Hydrops fetalis due to other and unspecified haemolytic disease ,A_4,Perinatal Conditions,
P57 ,Kernicterus ,A_4,Perinatal Conditions,
P57.0 ,Kernicterus due to isoimmunization ,A_4,Perinatal Conditions,
P57.8 ,Other specified kernicterus ,A_4,Perinatal Conditions,
P57.9 ,"Kernicterus, unspecified ",A_4,Perinatal Conditions,
P58 ,Neonatal jaundice due to other excessive haemolysis ,A_4,Perinatal Conditions,
P58.0 ,Neonatal jaundice due to bruising ,A_4,Perinatal Conditions,
P58.1 ,Neonatal jaundice due to bleeding ,A_4,Perinatal Conditions,
P58.2 ,Neonatal jaundice due to infection ,A_4,Perinatal Conditions,
P58.3 ,Neonatal jaundice due to polycythaemia ,A_4,Perinatal Conditions,
P58.4 ,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn ,A_4,Perinatal Conditions,
P58.5 ,Neonatal jaundice due to swallowed maternal blood ,A_4,Perinatal Conditions,
P58.8 ,Neonatal jaundice due to other specified excessive haemolysis ,A_4,Perinatal Conditions,
P58.9 ,"Neonatal jaundice due to excessive haemolysis, unspecified ",A_4,Perinatal Conditions,
P59 ,Neonatal jaundice from other and unspecified causes ,A_4,Perinatal Conditions,
P59.0 ,Neonatal jaundice associated with preterm delivery ,A_4,Perinatal Conditions,
P59.1 ,Inspissated bile syndrome ,A_4,Perinatal Conditions,
P59.2 ,Neonatal jaundice from other and unspecified hepatocellular damage ,A_4,Perinatal Conditions,
P59.3 ,Neonatal jaundice from breast milk inhibitor ,A_4,Perinatal Conditions,
P59.8 ,Neonatal jaundice from other specified causes ,A_4,Perinatal Conditions,
P59.9 ,"Neonatal jaundice, unspecified ",A_4,Perinatal Conditions,
P60 ,Disseminated intravascular coagulation of fetus and newborn ,A_4,Perinatal Conditions,
P61 ,Other perinatal haematological disorders ,A_4,Perinatal Conditions,
P61.0 ,Transient neonatal thrombocytopenia ,A_4,Perinatal Conditions,
P61.1 ,Polycythaemia neonatorum ,A_4,Perinatal Conditions,
P61.2 ,Anaemia of prematurity ,A_4,Perinatal Conditions,
P61.3 ,Congenital anaemia from fetal blood loss ,A_4,Perinatal Conditions,
P61.4 ,"Other congenital anaemias, not elsewhere classified ",A_4,Perinatal Conditions,
P61.5 ,Transient neonatal neutropenia ,A_4,Perinatal Conditions,
P61.6 ,Other transient neonatal disorders of coagulation ,A_4,Perinatal Conditions,
P61.8 ,Other specified perinatal haematological disorders ,A_4,Perinatal Conditions,
P61.9 ,"Perinatal haematological disorder, unspecified ",A_4,Perinatal Conditions,
P70 ,Transitory disorders of carbohydrate metabolism specific to fetus and newborn ,A_4,Perinatal Conditions,
P70.0 ,Syndrome of infant of mother with gestational diabetes ,A_4,Perinatal Conditions,
P70.1 ,Syndrome of infant of a diabetic mother ,A_4,Perinatal Conditions,
P70.2 ,Neonatal diabetes mellitus ,A_4,Perinatal Conditions,
P70.3 ,Iatrogenic neonatal hypoglycaemia ,A_4,Perinatal Conditions,
P70.4 ,Other neonatal hypoglycaemia ,A_4,Perinatal Conditions,
P70.8 ,Other transitory disorders of carbohydrate metabolism of fetus and newborn ,A_4,Perinatal Conditions,
P70.9 ,"Transitory disorder of carbohydrate metabolism of fetus and newborn, unspecified ",A_4,Perinatal Conditions,
P71 ,Transitory neonatal disorders of calcium and magnesium metabolism ,A_4,Perinatal Conditions,
P71.0 ,Cow's milk hypocalcaemia in newborn ,A_4,Perinatal Conditions,
P71.1 ,Other neonatal hypocalcaemia ,A_4,Perinatal Conditions,
P71.2 ,Neonatal hypomagnesaemia ,A_4,Perinatal Conditions,
P71.3 ,Neonatal tetany without calcium or magnesium deficiency ,A_4,Perinatal Conditions,
P71.4 ,Transitory neonatal hypoparathyroidism ,A_4,Perinatal Conditions,
P71.8 ,Other transitory neonatal disorders of calcium and magnesium metabolism ,A_4,Perinatal Conditions,
P71.9 ,"Transitory neonatal disorder of calcium and magnesium metabolism, unspecified ",A_4,Perinatal Conditions,
P72 ,Other transitory neonatal endocrine disorders ,A_4,Perinatal Conditions,
P72.0 ,"Neonatal goitre, not elsewhere classified ",A_4,Perinatal Conditions,
P72.1 ,Transitory neonatal hyperthyroidism ,A_4,Perinatal Conditions,
P72.2 ,"Other transitory neonatal disorders of thyroid function, not elsewhere classified ",A_4,Perinatal Conditions,
P72.8 ,Other specified transitory neonatal endocrine disorders ,A_4,Perinatal Conditions,
P72.9 ,"Transitory neonatal endocrine disorder, unspecified ",A_4,Perinatal Conditions,
P74 ,Other transitory neonatal electrolyte and metabolic disturbances ,A_4,Perinatal Conditions,
P74.0 ,Late metabolic acidosis of newborn ,A_4,Perinatal Conditions,
P74.1 ,Dehydration of newborn ,A_4,Perinatal Conditions,
P74.2 ,Disturbances of sodium balance of newborn ,A_4,Perinatal Conditions,
P74.3 ,Disturbances of potassium balance of newborn ,A_4,Perinatal Conditions,
P74.4 ,Other transitory electrolyte disturbances of newborn ,A_4,Perinatal Conditions,
P74.5 ,Transitory tyrosinaemia of newborn ,A_4,Perinatal Conditions,
P74.8 ,Other transitory metabolic disturbances of newborn ,A_4,Perinatal Conditions,
P74.9 ,"Transitory metabolic disturbance of newborn, unspecified ",A_4,Perinatal Conditions,
P76 ,Other intestinal obstruction of newborn ,A_4,Perinatal Conditions,
P76.0 ,Meconium plug syndrome ,A_4,Perinatal Conditions,
P76.1 ,Transitory ileus of newborn ,A_4,Perinatal Conditions,
P76.2 ,Intestinal obstruction due to inspissated milk ,A_4,Perinatal Conditions,
P76.8 ,Other specified intestinal obstruction of newborn ,A_4,Perinatal Conditions,
P76.9 ,"Intestinal obstruction of newborn, unspecified ",A_4,Perinatal Conditions,
P77 ,Necrotizing enterocolitis of fetus and newborn ,A_4,Perinatal Conditions,
P78 ,Other perinatal digestive system disorders ,A_4,Perinatal Conditions,
P78.0 ,Perinatal intestinal perforation ,A_4,Perinatal Conditions,
P78.1 ,Other neonatal peritonitis ,A_4,Perinatal Conditions,
P78.2 ,Neonatal haematemesis and melaena due to swallowed maternal blood ,A_4,Perinatal Conditions,
P78.3 ,Noninfective neonatal diarrhoea ,A_4,Perinatal Conditions,
