icd10,gbd_severity,description
C36.8,3,NA
C36.9,3,NA
C39,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.0,3,"Malignant neoplasm of upper respiratory tract, part unspecified"
C39.1,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.2,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.3,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.4,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.5,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.6,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.7,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.8,3,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C39.9,3,"Malignant neoplasm of lower respiratory tract, part unspecified"
C42,3,NA
C46,3,Kaposi's sarcoma
C46.0,3,Kaposi's sarcoma of skin
C46.1,3,Kaposi's sarcoma of soft tissue
C46.2,3,Kaposi's sarcoma of palate
C46.3,3,Kaposi's sarcoma of lymph nodes
C46.4,3,Kaposi's sarcoma of gastrointestinal sites
C46.5,3,Kaposi's sarcoma of lung
C46.6,3,Kaposi's sarcoma
C46.7,3,Kaposi's sarcoma of other sites
C46.8,3,Kaposi's sarcoma
C46.9,3,"Kaposi's sarcoma, unspecified"
C55,3,"Malignant neoplasm of uterus, part unspecified"
C55.0,3,"Malignant neoplasm of uterus, part unspecified"
C55.1,3,"Malignant neoplasm of uterus, part unspecified"
C55.2,3,"Malignant neoplasm of uterus, part unspecified"
C55.3,3,"Malignant neoplasm of uterus, part unspecified"
C55.4,3,"Malignant neoplasm of uterus, part unspecified"
C55.5,3,"Malignant neoplasm of uterus, part unspecified"
C55.6,3,"Malignant neoplasm of uterus, part unspecified"
C55.7,3,"Malignant neoplasm of uterus, part unspecified"
C55.8,3,"Malignant neoplasm of uterus, part unspecified"
C55.9,3,"Malignant neoplasm of uterus, part unspecified"
C57.9,3,"Malignant neoplasm of female genital organ, unspecified"
C59,3,NA
C63.9,3,"Malignant neoplasm of male genital organ, unspecified"
C68,3,Malignant neoplasm of other and unspecified urinary organs
C68.9,3,"Malignant neoplasm of urinary organ, unspecified"
C69,4,Malignant neoplasm of eye and adnexa
C69.9,4,Malignant neoplasm of unspecified site of eye
C74,3,Malignant neoplasm of adrenal gland
C74.0,3,Malignant neoplasm of cortex of adrenal gland
C74.1,3,Malignant neoplasm of medulla of adrenal gland
C74.2,3,Malignant neoplasm of adrenal gland
C74.3,3,Malignant neoplasm of adrenal gland
C74.4,3,Malignant neoplasm of adrenal gland
C74.5,3,Malignant neoplasm of adrenal gland
C74.6,3,Malignant neoplasm of adrenal gland
C74.7,3,Malignant neoplasm of adrenal gland
C74.8,3,Malignant neoplasm of adrenal gland
C74.9,3,Malignant neoplasm of unspecified part of adrenal gland
C75,3,Malignant neoplasm of other endocrine glands and related structures
C75.9,3,"Malignant neoplasm of endocrine gland, unspecified"
C76,3,Malignant neoplasm of other and ill-defined sites
C76.0,3,"Malignant neoplasm of head, face and neck"
C76.1,3,Malignant neoplasm of thorax
C76.2,3,Malignant neoplasm of abdomen
C76.3,3,Malignant neoplasm of pelvis
C76.4,3,Malignant neoplasm of upper limb
C76.5,3,Malignant neoplasm of lower limb
C76.6,3,Malignant neoplasm of other and ill-defined sites
C76.7,3,Malignant neoplasm of other and ill-defined sites
C76.8,3,Malignant neoplasm of other specified ill-defined sites
C76.9,3,Malignant neoplasm of other and ill-defined sites
C77,3,Secondary and unspecified malignant neoplasm of lymph nodes
C77.0,3,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
C77.1,3,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
C77.2,3,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C77.3,3,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
C77.4,3,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
C77.5,3,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
C77.6,3,Secondary and unspecified malignant neoplasm of lymph nodes
C77.7,3,Secondary and unspecified malignant neoplasm of lymph nodes
C77.8,3,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
C77.9,3,"Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C78,3,Secondary malignant neoplasm of respiratory and digestive organs
C78.0,3,Secondary malignant neoplasm of lung
C78.1,3,Secondary malignant neoplasm of mediastinum
C78.2,3,Secondary malignant neoplasm of pleura
C78.3,3,Secondary malignant neoplasm of other and unspecified respiratory organs
C78.4,3,Secondary malignant neoplasm of small intestine
C78.5,3,Secondary malignant neoplasm of large intestine and rectum
C78.6,3,Secondary malignant neoplasm of retroperitoneum and peritoneum
C78.7,3,Secondary malignant neoplasm of liver and intrahepatic bile duct
C78.8,3,Secondary malignant neoplasm of other and unspecified digestive organs
C78.9,3,Secondary malignant neoplasm of respiratory and digestive organs
C79,3,Secondary malignant neoplasm of other and unspecified sites
C79.0,3,Secondary malignant neoplasm of kidney and renal pelvis
C79.1,3,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
C79.2,3,Secondary malignant neoplasm of skin
C79.3,3,Secondary malignant neoplasm of brain and cerebral meninges
C79.4,3,Secondary malignant neoplasm of other and unspecified parts of nervous system
C79.5,3,Secondary malignant neoplasm of bone and bone marrow
C79.6,3,Secondary malignant neoplasm of ovary
C79.7,3,Secondary malignant neoplasm of adrenal gland
C79.8,3,Secondary malignant neoplasm of other specified sites
C79.9,3,Secondary malignant neoplasm of unspecified site
C80,3,Malignant neoplasm without specification of site
C80.0,3,"Disseminated malignant neoplasm, unspecified"
C80.1,3,"Malignant (primary) neoplasm, unspecified"
C80.2,3,Malignant neoplasm associated with transplanted organ
C80.3,3,Malignant neoplasm without specification of site
C80.4,3,Malignant neoplasm without specification of site
C80.5,3,Malignant neoplasm without specification of site
C80.6,3,Malignant neoplasm without specification of site
C80.7,3,Malignant neoplasm without specification of site
C80.8,3,Malignant neoplasm without specification of site
C80.9,3,Malignant neoplasm without specification of site
C87,3,NA
C91,4,Lymphoid leukemia
C91.1,4,Chronic lymphocytic leukemia of B-cell type
C91.4,4,Hairy cell leukemia
C91.5,4,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C91.7,4,Lymphoid leukemia
C91.8,4,Lymphoid leukemia
C91.9,4,"Lymphoid leukemia, unspecified"
C92,4,Myeloid leukemia
C92.7,4,Myeloid leukemia
C92.8,4,Myeloid leukemia
C92.9,4,"Myeloid leukemia, unspecified"
C93,4,Monocytic leukemia
C93.2,4,Monocytic leukemia
C93.5,4,Monocytic leukemia
C93.6,4,Monocytic leukemia
C93.7,4,Monocytic leukemia
C93.9,4,"Monocytic leukemia, unspecified"
C97,3,NA
D00.0,3,"Carcinoma in situ of lip, oral cavity and pharynx"
D01,3,Carcinoma in situ of other and unspecified digestive organs
D01.4,3,Carcinoma in situ of other and unspecified parts of intestine
D01.5,3,"Carcinoma in situ of liver, gallbladder and bile ducts"
D01.6,3,Carcinoma in situ of other and unspecified digestive organs
D01.7,3,Carcinoma in situ of other specified digestive organs
D01.8,3,Carcinoma in situ of other and unspecified digestive organs
D01.9,3,"Carcinoma in situ of digestive organ, unspecified"
D02,3,Carcinoma in situ of middle ear and respiratory system
D02.0,3,Carcinoma in situ of larynx
D02.1,3,Carcinoma in situ of trachea
D02.2,3,Carcinoma in situ of bronchus and lung
D02.3,3,Carcinoma in situ of other parts of respiratory system
D02.4,3,"Carcinoma in situ of respiratory system, unspecified"
D02.5,3,Carcinoma in situ of middle ear and respiratory system
D02.6,3,Carcinoma in situ of middle ear and respiratory system
D02.7,3,Carcinoma in situ of middle ear and respiratory system
D02.8,3,Carcinoma in situ of middle ear and respiratory system
D02.9,3,Carcinoma in situ of middle ear and respiratory system
D07,3,Carcinoma in situ of other and unspecified genital organs
D07.3,3,Carcinoma in situ of other and unspecified female genital organs
D07.6,3,Carcinoma in situ of other and unspecified male genital organs
D07.7,3,Carcinoma in situ of other and unspecified genital organs
D07.8,3,Carcinoma in situ of other and unspecified genital organs
D07.9,3,Carcinoma in situ of other and unspecified genital organs
D08,3,NA
D08.0,3,NA
D08.1,3,NA
D08.2,3,NA
D08.3,3,NA
D08.4,3,NA
D08.5,3,NA
D08.6,3,NA
D08.7,3,NA
D08.8,3,NA
D08.9,3,NA
D09,3,Carcinoma in situ of other and unspecified sites
D09.0,3,Carcinoma in situ of bladder
D09.1,3,Carcinoma in situ of other and unspecified urinary organs
D09.2,3,Carcinoma in situ of eye
D09.3,3,Carcinoma in situ of thyroid and other endocrine glands
D09.4,3,Carcinoma in situ of other and unspecified sites
D09.5,3,Carcinoma in situ of other and unspecified sites
D09.6,3,Carcinoma in situ of other and unspecified sites
D09.7,3,Carcinoma in situ of other and unspecified sites
D09.8,3,Carcinoma in situ of other specified sites
D09.9,3,"Carcinoma in situ, unspecified"
D10,3,Benign neoplasm of mouth and pharynx
D10.0,3,Benign neoplasm of lip
D10.1,3,Benign neoplasm of tongue
D10.2,3,Benign neoplasm of floor of mouth
D10.3,3,Benign neoplasm of other and unspecified parts of mouth
D10.4,3,Benign neoplasm of tonsil
D10.5,3,Benign neoplasm of other parts of oropharynx
D10.6,3,Benign neoplasm of nasopharynx
D10.7,3,Benign neoplasm of hypopharynx
D10.8,3,Benign neoplasm of mouth and pharynx
D10.9,3,"Benign neoplasm of pharynx, unspecified"
D13,3,Benign neoplasm of other and ill-defined parts of digestive system
D13.9,3,Benign neoplasm of ill-defined sites within the digestive system
D14,3,Benign neoplasm of middle ear and respiratory system
D14.0,3,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses"
D14.1,3,Benign neoplasm of larynx
D14.2,3,Benign neoplasm of trachea
D14.3,3,Benign neoplasm of bronchus and lung
D14.4,3,"Benign neoplasm of respiratory system, unspecified"
D14.5,3,Benign neoplasm of middle ear and respiratory system
D14.6,3,Benign neoplasm of middle ear and respiratory system
D14.7,3,Benign neoplasm of middle ear and respiratory system
D14.8,3,Benign neoplasm of middle ear and respiratory system
D14.9,3,Benign neoplasm of middle ear and respiratory system
D17,3,Benign lipomatous neoplasm
D17.0,3,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
D17.1,3,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
D17.2,3,Benign lipomatous neoplasm of skin and subcutaneous tissue of limb
D17.3,3,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
D17.4,3,Benign lipomatous neoplasm of intrathoracic organs
D17.5,3,Benign lipomatous neoplasm of intra-abdominal organs
D17.6,3,Benign lipomatous neoplasm of spermatic cord
D17.7,3,Benign lipomatous neoplasm of other sites
D17.8,3,Benign lipomatous neoplasm
D17.9,3,"Benign lipomatous neoplasm, unspecified"
D18,3,"Hemangioma and lymphangioma, any site"
D18.0,3,Hemangioma
D18.1,3,"Lymphangioma, any site"
D18.2,3,"Hemangioma and lymphangioma, any site"
D18.3,3,"Hemangioma and lymphangioma, any site"
D18.4,3,"Hemangioma and lymphangioma, any site"
D18.5,3,"Hemangioma and lymphangioma, any site"
D18.6,3,"Hemangioma and lymphangioma, any site"
D18.7,3,"Hemangioma and lymphangioma, any site"
D18.8,3,"Hemangioma and lymphangioma, any site"
D18.9,3,"Hemangioma and lymphangioma, any site"
D19,3,Benign neoplasm of mesothelial tissue
D19.0,3,Benign neoplasm of mesothelial tissue of pleura
D19.1,3,Benign neoplasm of mesothelial tissue of peritoneum
D19.2,3,Benign neoplasm of mesothelial tissue
D19.3,3,Benign neoplasm of mesothelial tissue
D19.4,3,Benign neoplasm of mesothelial tissue
D19.5,3,Benign neoplasm of mesothelial tissue
D19.6,3,Benign neoplasm of mesothelial tissue
D19.7,3,Benign neoplasm of mesothelial tissue of other sites
D19.8,3,Benign neoplasm of mesothelial tissue
D19.9,3,"Benign neoplasm of mesothelial tissue, unspecified"
D20,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.0,3,Benign neoplasm of soft tissue of retroperitoneum
D20.1,3,Benign neoplasm of soft tissue of peritoneum
D20.2,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.3,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.4,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.5,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.6,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.7,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.8,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D20.9,3,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21,3,Other benign neoplasms of connective and other soft tissue
D21.0,3,"Benign neoplasm of connective and other soft tissue of head, face and neck"
D21.1,3,"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
D21.2,3,"Benign neoplasm of connective and other soft tissue of lower limb, including hip"
D21.3,3,Benign neoplasm of connective and other soft tissue of thorax
D21.4,3,Benign neoplasm of connective and other soft tissue of abdomen
D21.5,3,Benign neoplasm of connective and other soft tissue of pelvis
D21.6,3,"Benign neoplasm of connective and other soft tissue of trunk, unspecified"
D21.7,3,Other benign neoplasms of connective and other soft tissue
D21.8,3,Other benign neoplasms of connective and other soft tissue
D21.9,3,"Benign neoplasm of connective and other soft tissue, unspecified"
D28,3,Benign neoplasm of other and unspecified female genital organs
D28.9,3,"Benign neoplasm of female genital organ, unspecified"
D29,3,Benign neoplasm of male genital organs
D29.0,3,Benign neoplasm of penis
D29.1,3,Benign neoplasm of prostate
D29.2,3,Benign neoplasm of testis
D29.3,3,Benign neoplasm of epididymis
D29.4,3,Benign neoplasm of scrotum
D29.5,3,Benign neoplasm of male genital organs
D29.6,3,Benign neoplasm of male genital organs
D29.7,3,Benign neoplasm of male genital organs
D29.8,3,Benign neoplasm of other specified male genital organs
D29.9,3,"Benign neoplasm of male genital organ, unspecified"
D30,3,Benign neoplasm of urinary organs
D30.0,3,Benign neoplasm of kidney
D30.1,3,Benign neoplasm of renal pelvis
D30.2,3,Benign neoplasm of ureter
D30.3,3,Benign neoplasm of bladder
D30.4,3,Benign neoplasm of urethra
D30.5,3,Benign neoplasm of urinary organs
D30.6,3,Benign neoplasm of urinary organs
D30.7,3,Benign neoplasm of urinary organs
D30.8,3,Benign neoplasm of other specified urinary organs
D30.9,3,"Benign neoplasm of urinary organ, unspecified"
D36,3,Benign neoplasm of other and unspecified sites
D36.0,3,Benign neoplasm of lymph nodes
D36.9,3,"Benign neoplasm, unspecified site"
D37,3,Neoplasm of uncertain behavior of oral cavity and digestive organs
D37.0,3,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
D37.6,3,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D37.7,3,Neoplasm of uncertain behavior of oral cavity and digestive organs
D37.8,3,Neoplasm of uncertain behavior of other specified digestive organs
D37.9,3,"Neoplasm of uncertain behavior of digestive organ, unspecified"
D38,3,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D38.0,3,Neoplasm of uncertain behavior of larynx
D38.1,3,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
D38.2,3,Neoplasm of uncertain behavior of pleura
D38.3,3,Neoplasm of uncertain behavior of mediastinum
D38.4,3,Neoplasm of uncertain behavior of thymus
D38.5,3,Neoplasm of uncertain behavior of other respiratory organs
D38.6,3,"Neoplasm of uncertain behavior of respiratory organ, unspecified"
D38.7,3,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D38.8,3,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D38.9,3,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D39,3,Neoplasm of uncertain behavior of female genital organs
D39.0,3,Neoplasm of uncertain behavior of uterus
D39.7,3,Neoplasm of uncertain behavior of female genital organs
D39.9,3,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D40,3,Neoplasm of uncertain behavior of male genital organs
D40.0,3,Neoplasm of uncertain behavior of prostate
D40.1,3,Neoplasm of uncertain behavior of testis
D40.2,3,Neoplasm of uncertain behavior of male genital organs
D40.3,3,Neoplasm of uncertain behavior of male genital organs
D40.4,3,Neoplasm of uncertain behavior of male genital organs
D40.5,3,Neoplasm of uncertain behavior of male genital organs
D40.6,3,Neoplasm of uncertain behavior of male genital organs
D40.7,3,Neoplasm of uncertain behavior of male genital organs
D40.8,3,Neoplasm of uncertain behavior of other specified male genital organs
D40.9,3,"Neoplasm of uncertain behavior of male genital organ, unspecified"
D41,3,Neoplasm of uncertain behavior of urinary organs
D41.0,3,Neoplasm of uncertain behavior of kidney
D41.1,3,Neoplasm of uncertain behavior of renal pelvis
D41.2,3,Neoplasm of uncertain behavior of ureter
D41.3,3,Neoplasm of uncertain behavior of urethra
D41.4,3,Neoplasm of uncertain behavior of bladder
D41.5,3,Neoplasm of uncertain behavior of urinary organs
D41.6,3,Neoplasm of uncertain behavior of urinary organs
D41.7,3,Neoplasm of uncertain behavior of urinary organs
D41.8,3,Neoplasm of uncertain behavior of other specified urinary organs
D41.9,3,Neoplasm of uncertain behavior of unspecified urinary organ
D44,3,Neoplasm of uncertain behavior of endocrine glands
D44.9,3,Neoplasm of uncertain behavior of unspecified endocrine gland
D48,3,Neoplasm of uncertain behavior of other and unspecified sites
D48.7,3,Neoplasm of uncertain behavior of other specified sites
D48.8,3,Neoplasm of uncertain behavior of other and unspecified sites
D48.9,3,"Neoplasm of uncertain behavior, unspecified"
D49,3,Neoplasms of unspecified behavior
D49.0,3,Neoplasm of unspecified behavior of digestive system
D49.1,3,Neoplasm of unspecified behavior of respiratory system
D49.5,3,Neoplasm of unspecified behavior of other genitourinary organs
D49.7,3,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D49.8,3,Neoplasm of unspecified behavior of other specified sites
D49.9,3,Neoplasm of unspecified behavior of unspecified site
D50,1,Iron deficiency anemia
D50.0,1,Iron deficiency anemia secondary to blood loss (chronic)
D50.9,1,"Iron deficiency anemia, unspecified"
D54,3,NA
D59,2,Acquired hemolytic anemia
D59.4,2,Other nonautoimmune hemolytic anemias
D59.8,2,Other acquired hemolytic anemias
D59.9,2,"Acquired hemolytic anemia, unspecified"
D62,1,Acute posthemorrhagic anemia
D62.0,1,Acute posthemorrhagic anemia
D62.1,1,Acute posthemorrhagic anemia
D62.2,1,Acute posthemorrhagic anemia
D62.3,1,Acute posthemorrhagic anemia
D62.4,1,Acute posthemorrhagic anemia
D62.5,1,Acute posthemorrhagic anemia
D62.6,1,Acute posthemorrhagic anemia
D62.7,1,Acute posthemorrhagic anemia
D62.8,1,Acute posthemorrhagic anemia
D62.9,1,Acute posthemorrhagic anemia
D63,1,Anemia in chronic diseases classified elsewhere
D63.0,1,Anemia in neoplastic disease
D63.8,1,Anemia in other chronic diseases classified elsewhere
D63.9,1,Anemia in chronic diseases classified elsewhere
D64,1,Other anemias
D64.0,1,Hereditary sideroblastic anemia
D64.1,1,Secondary sideroblastic anemia due to disease
D64.2,1,Secondary sideroblastic anemia due to drugs and toxins
D64.3,1,Other sideroblastic anemias
D64.4,1,Congenital dyserythropoietic anemia
D64.5,1,Other anemias
D64.6,1,Other anemias
D64.7,1,Other anemias
D64.8,1,Other specified anemias
D64.9,1,"Anemia, unspecified"
D65,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.0,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.1,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.2,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.3,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.4,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.5,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.6,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.7,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.8,1,Disseminated intravascular coagulation [defibrination syndrome]
D65.9,1,Disseminated intravascular coagulation [defibrination syndrome]
D68,1,Other coagulation defects
D69.9,1,"Hemorrhagic condition, unspecified"
D75.9,3,"Disease of blood and blood-forming organs, unspecified"
D79,3,NA
D79.0,3,NA
D79.1,3,NA
D79.2,3,NA
D79.3,3,NA
D79.4,3,NA
D79.5,3,NA
D79.6,3,NA
D79.7,3,NA
D79.8,3,NA
D79.9,3,NA
D80,3,Immunodeficiency with predominantly antibody defects
D80.0,3,Hereditary hypogammaglobulinemia
D80.1,3,Nonfamilial hypogammaglobulinemia
