code,description
S53401A,"unspecified sprain of right elbow, initial encounter"
S53401D,"unspecified sprain of right elbow, subsequent encounter"
S53401S,"unspecified sprain of right elbow, sequela"
S53402A,"unspecified sprain of left elbow, initial encounter"
S53402D,"unspecified sprain of left elbow, subsequent encounter"
S53402S,"unspecified sprain of left elbow, sequela"
S53409A,"unspecified sprain of unspecified elbow, initial encounter"
S53409D,"unspecified sprain of unspecified elbow, subsequent encounter"
S53409S,"unspecified sprain of unspecified elbow, sequela"
S53419A,"radiohumeral (joint) sprain of unspecified elbow, initial encounter"
S53419D,"radiohumeral (joint) sprain of unspecified elbow, subsequent encounter"
S53419S,"radiohumeral (joint) sprain of unspecified elbow, sequela"
S53429A,"ulnohumeral (joint) sprain of unspecified elbow, initial encounter"
S53429D,"ulnohumeral (joint) sprain of unspecified elbow, subsequent encounter"
S53429S,"ulnohumeral (joint) sprain of unspecified elbow, sequela"
S53439A,"radial collateral ligament sprain of unspecified elbow, initial encounter"
S53439D,"radial collateral ligament sprain of unspecified elbow, subsequent encounter"
S53439S,"radial collateral ligament sprain of unspecified elbow, sequela"
S53449A,"ulnar collateral ligament sprain of unspecified elbow, initial encounter"
S53449D,"ulnar collateral ligament sprain of unspecified elbow, subsequent encounter"
S53449S,"ulnar collateral ligament sprain of unspecified elbow, sequela"
S53499A,"other sprain of unspecified elbow, initial encounter"
S53499D,"other sprain of unspecified elbow, subsequent encounter"
S53499S,"other sprain of unspecified elbow, sequela"
S5400XA,"injury of ulnar nerve at forearm level, unspecified arm, initial encounter"
S5400XD,"injury of ulnar nerve at forearm level, unspecified arm, subsequent encounter"
S5400XS,"injury of ulnar nerve at forearm level, unspecified arm, sequela"
S5410XA,"injury of median nerve at forearm level, unspecified arm, initial encounter"
S5410XD,"injury of median nerve at forearm level, unspecified arm, subsequent encounter"
S5410XS,"injury of median nerve at forearm level, unspecified arm, sequela"
S5420XA,"injury of radial nerve at forearm level, unspecified arm, initial encounter"
S5420XD,"injury of radial nerve at forearm level, unspecified arm, subsequent encounter"
S5420XS,"injury of radial nerve at forearm level, unspecified arm, sequela"
S5430XA,"injury of cutaneous sensory nerve at forearm level, unspecified arm, initial encounter"
S5430XD,"injury of cutaneous sensory nerve at forearm level, unspecified arm, subsequent encounter"
S5430XS,"injury of cutaneous sensory nerve at forearm level, unspecified arm, sequela"
S548X9A,"injury of other nerves at forearm level, unspecified arm, initial encounter"
S548X9D,"injury of other nerves at forearm level, unspecified arm, subsequent encounter"
S548X9S,"injury of other nerves at forearm level, unspecified arm, sequela"
S5490XA,"injury of unspecified nerve at forearm level, unspecified arm, initial encounter"
S5490XD,"injury of unspecified nerve at forearm level, unspecified arm, subsequent encounter"
S5490XS,"injury of unspecified nerve at forearm level, unspecified arm, sequela"
S5491XA,"injury of unspecified nerve at forearm level, right arm, initial encounter"
S5491XD,"injury of unspecified nerve at forearm level, right arm, subsequent encounter"
S5491XS,"injury of unspecified nerve at forearm level, right arm, sequela"
S5492XA,"injury of unspecified nerve at forearm level, left arm, initial encounter"
S5492XD,"injury of unspecified nerve at forearm level, left arm, subsequent encounter"
S5492XS,"injury of unspecified nerve at forearm level, left arm, sequela"
S55001A,"unspecified injury of ulnar artery at forearm level, right arm, initial encounter"
S55001D,"unspecified injury of ulnar artery at forearm level, right arm, subsequent encounter"
S55001S,"unspecified injury of ulnar artery at forearm level, right arm, sequela"
S55002A,"unspecified injury of ulnar artery at forearm level, left arm, initial encounter"
S55002D,"unspecified injury of ulnar artery at forearm level, left arm, subsequent encounter"
S55002S,"unspecified injury of ulnar artery at forearm level, left arm, sequela"
S55009A,"unspecified injury of ulnar artery at forearm level, unspecified arm, initial encounter"
S55009D,"unspecified injury of ulnar artery at forearm level, unspecified arm, subsequent encounter"
S55009S,"unspecified injury of ulnar artery at forearm level, unspecified arm, sequela"
S55019A,"laceration of ulnar artery at forearm level, unspecified arm, initial encounter"
S55019D,"laceration of ulnar artery at forearm level, unspecified arm, subsequent encounter"
S55019S,"laceration of ulnar artery at forearm level, unspecified arm, sequela"
S55099A,"other specified injury of ulnar artery at forearm level, unspecified arm, initial encounter"
S55099D,"other specified injury of ulnar artery at forearm level, unspecified arm, subsequent encounter"
S55099S,"other specified injury of ulnar artery at forearm level, unspecified arm, sequela"
S55101A,"unspecified injury of radial artery at forearm level, right arm, initial encounter"
S55101D,"unspecified injury of radial artery at forearm level, right arm, subsequent encounter"
S55101S,"unspecified injury of radial artery at forearm level, right arm, sequela"
S55102A,"unspecified injury of radial artery at forearm level, left arm, initial encounter"
S55102D,"unspecified injury of radial artery at forearm level, left arm, subsequent encounter"
S55102S,"unspecified injury of radial artery at forearm level, left arm, sequela"
S55109A,"unspecified injury of radial artery at forearm level, unspecified arm, initial encounter"
S55109D,"unspecified injury of radial artery at forearm level, unspecified arm, subsequent encounter"
S55109S,"unspecified injury of radial artery at forearm level, unspecified arm, sequela"
S55119A,"laceration of radial artery at forearm level, unspecified arm, initial encounter"
S55119D,"laceration of radial artery at forearm level, unspecified arm, subsequent encounter"
S55119S,"laceration of radial artery at forearm level, unspecified arm, sequela"
S55199A,"other specified injury of radial artery at forearm level, unspecified arm, initial encounter"
S55199D,"other specified injury of radial artery at forearm level, unspecified arm, subsequent encounter"
S55199S,"other specified injury of radial artery at forearm level, unspecified arm, sequela"
S55201A,"unspecified injury of vein at forearm level, right arm, initial encounter"
S55201D,"unspecified injury of vein at forearm level, right arm, subsequent encounter"
S55201S,"unspecified injury of vein at forearm level, right arm, sequela"
S55202A,"unspecified injury of vein at forearm level, left arm, initial encounter"
S55202D,"unspecified injury of vein at forearm level, left arm, subsequent encounter"
S55202S,"unspecified injury of vein at forearm level, left arm, sequela"
S55209A,"unspecified injury of vein at forearm level, unspecified arm, initial encounter"
S55209D,"unspecified injury of vein at forearm level, unspecified arm, subsequent encounter"
S55209S,"unspecified injury of vein at forearm level, unspecified arm, sequela"
S55219A,"laceration of vein at forearm level, unspecified arm, initial encounter"
S55219D,"laceration of vein at forearm level, unspecified arm, subsequent encounter"
S55219S,"laceration of vein at forearm level, unspecified arm, sequela"
S55299A,"other specified injury of vein at forearm level, unspecified arm, initial encounter"
S55299D,"other specified injury of vein at forearm level, unspecified arm, subsequent encounter"
S55299S,"other specified injury of vein at forearm level, unspecified arm, sequela"
S55801A,"unspecified injury of other blood vessels at forearm level, right arm, initial encounter"
S55801D,"unspecified injury of other blood vessels at forearm level, right arm, subsequent encounter"
S55801S,"unspecified injury of other blood vessels at forearm level, right arm, sequela"
S55802A,"unspecified injury of other blood vessels at forearm level, left arm, initial encounter"
S55802D,"unspecified injury of other blood vessels at forearm level, left arm, subsequent encounter"
S55802S,"unspecified injury of other blood vessels at forearm level, left arm, sequela"
S55809A,"unspecified injury of other blood vessels at forearm level, unspecified arm, initial encounter"
S55809D,"unspecified injury of other blood vessels at forearm level, unspecified arm, subsequent encounter"
S55809S,"unspecified injury of other blood vessels at forearm level, unspecified arm, sequela"
S55819A,"laceration of other blood vessels at forearm level, unspecified arm, initial encounter"
S55819D,"laceration of other blood vessels at forearm level, unspecified arm, subsequent encounter"
S55819S,"laceration of other blood vessels at forearm level, unspecified arm, sequela"
S55899A,"other specified injury of other blood vessels at forearm level, unspecified arm, initial encounter"
S55899D,"other specified injury of other blood vessels at forearm level, unspecified arm, subsequent encounter"
S55899S,"other specified injury of other blood vessels at forearm level, unspecified arm, sequela"
S55901A,"unspecified injury of unspecified blood vessel at forearm level, right arm, initial encounter"
S55901D,"unspecified injury of unspecified blood vessel at forearm level, right arm, subsequent encounter"
S55901S,"unspecified injury of unspecified blood vessel at forearm level, right arm, sequela"
S55902A,"unspecified injury of unspecified blood vessel at forearm level, left arm, initial encounter"
S55902D,"unspecified injury of unspecified blood vessel at forearm level, left arm, subsequent encounter"
S55902S,"unspecified injury of unspecified blood vessel at forearm level, left arm, sequela"
S55909A,"unspecified injury of unspecified blood vessel at forearm level, unspecified arm, initial encounter"
S55909D,"unspecified injury of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter"
S55909S,"unspecified injury of unspecified blood vessel at forearm level, unspecified arm, sequela"
S55911A,"laceration of unspecified blood vessel at forearm level, right arm, initial encounter"
S55911D,"laceration of unspecified blood vessel at forearm level, right arm, subsequent encounter"
S55911S,"laceration of unspecified blood vessel at forearm level, right arm, sequela"
S55912A,"laceration of unspecified blood vessel at forearm level, left arm, initial encounter"
S55912D,"laceration of unspecified blood vessel at forearm level, left arm, subsequent encounter"
S55912S,"laceration of unspecified blood vessel at forearm level, left arm, sequela"
S55919A,"laceration of unspecified blood vessel at forearm level, unspecified arm, initial encounter"
S55919D,"laceration of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter"
S55919S,"laceration of unspecified blood vessel at forearm level, unspecified arm, sequela"
S55991A,"other specified injury of unspecified blood vessel at forearm level, right arm, initial encounter"
S55991D,"other specified injury of unspecified blood vessel at forearm level, right arm, subsequent encounter"
S55991S,"other specified injury of unspecified blood vessel at forearm level, right arm, sequela"
S55992A,"other specified injury of unspecified blood vessel at forearm level, left arm, initial encounter"
S55992D,"other specified injury of unspecified blood vessel at forearm level, left arm, subsequent encounter"
S55992S,"other specified injury of unspecified blood vessel at forearm level, left arm, sequela"
S55999A,"other specified injury of unspecified blood vessel at forearm level, unspecified arm, initial encounter"
S55999D,"other specified injury of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter"
S55999S,"other specified injury of unspecified blood vessel at forearm level, unspecified arm, sequela"
S56001A,"unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter"
S56001D,"unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, subsequent encounter"
S56001S,"unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, sequela"
S56002A,"unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, initial encounter"
S56002D,"unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, subsequent encounter"
S56002S,"unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, sequela"
S56009A,"unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter"
S56009D,"unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter"
S56009S,"unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela"
S56019A,"strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter"
S56019D,"strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter"
S56019S,"strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela"
S56029A,"laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter"
S56029D,"laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter"
S56029S,"laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela"
S56099A,"other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter"
S56099D,"other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter"
S56099S,"other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela"
S56101A,"unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, initial encounter"
S56101D,"unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, subsequent encounter"
S56101S,"unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, sequela"
S56102A,"unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, initial encounter"
S56102D,"unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter"
S56102S,"unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, sequela"
S56103A,"unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, initial encounter"
S56103D,"unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter"
S56103S,"unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, sequela"
S56104A,"unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, initial encounter"
S56104D,"unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, subsequent encounter"
S56104S,"unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, sequela"
S56105A,"unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, initial encounter"
S56105D,"unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, subsequent encounter"
S56105S,"unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, sequela"
S56106A,"unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, initial encounter"
S56106D,"unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, subsequent encounter"
S56106S,"unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, sequela"
S56107A,"unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, initial encounter"
S56107D,"unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter"
S56107S,"unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, sequela"
S56108A,"unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, initial encounter"
S56108D,"unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, subsequent encounter"
S56108S,"unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, sequela"
S56109A,"unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56109D,"unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56109S,"unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56119A,"strain of flexor muscle, fascia and tendon of finger of unspecified finger at forearm level, initial encounter"
S56119D,"strain of flexor muscle, fascia and tendon of finger of unspecified finger at forearm level, subsequent encounter"
S56119S,"strain of flexor muscle, fascia and tendon of finger of unspecified finger at forearm level, sequela"
S56129A,"laceration of flexor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56129D,"laceration of flexor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56129S,"laceration of flexor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56199A,"other injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56199D,"other injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56199S,"other injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56201A,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, right arm, initial encounter"
S56201D,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, right arm, subsequent encounter"
S56201S,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, right arm, sequela"
S56202A,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, left arm, initial encounter"
S56202D,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, left arm, subsequent encounter"
S56202S,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, left arm, sequela"
S56209A,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56209D,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56209S,"unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56219A,"strain of other flexor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56219D,"strain of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56219S,"strain of other flexor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56229A,"laceration of other flexor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56229D,"laceration of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56229S,"laceration of other flexor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56299A,"other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56299D,"other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56299S,"other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56301A,"unspecified injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level, initial encounter"
S56301D,"unspecified injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level, subsequent encounter"
S56301S,"unspecified injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level, sequela"
S56302A,"unspecified injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level, initial encounter"
S56302D,"unspecified injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level, subsequent encounter"
S56302S,"unspecified injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level, sequela"
S56309A,"unspecified injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, initial encounter"
S56309D,"unspecified injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, subsequent encounter"
S56309S,"unspecified injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, sequela"
S56319A,"strain of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, initial encounter"
S56319D,"strain of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, subsequent encounter"
S56319S,"strain of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, sequela"
S56329A,"laceration of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, initial encounter"
S56329D,"laceration of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, subsequent encounter"
S56329S,"laceration of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, sequela"
S56399A,"other injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, initial encounter"
S56399D,"other injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, subsequent encounter"
S56399S,"other injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, sequela"
S56401A,"unspecified injury of extensor muscle, fascia and tendon of right index finger at forearm level, initial encounter"
S56401D,"unspecified injury of extensor muscle, fascia and tendon of right index finger at forearm level, subsequent encounter"
S56401S,"unspecified injury of extensor muscle, fascia and tendon of right index finger at forearm level, sequela"
S56402A,"unspecified injury of extensor muscle, fascia and tendon of left index finger at forearm level, initial encounter"
S56402D,"unspecified injury of extensor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter"
S56402S,"unspecified injury of extensor muscle, fascia and tendon of left index finger at forearm level, sequela"
S56403A,"unspecified injury of extensor muscle, fascia and tendon of right middle finger at forearm level, initial encounter"
S56403D,"unspecified injury of extensor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter"
S56403S,"unspecified injury of extensor muscle, fascia and tendon of right middle finger at forearm level, sequela"
S56404A,"unspecified injury of extensor muscle, fascia and tendon of left middle finger at forearm level, initial encounter"
S56404D,"unspecified injury of extensor muscle, fascia and tendon of left middle finger at forearm level, subsequent encounter"
S56404S,"unspecified injury of extensor muscle, fascia and tendon of left middle finger at forearm level, sequela"
S56405A,"unspecified injury of extensor muscle, fascia and tendon of right ring finger at forearm level, initial encounter"
S56405D,"unspecified injury of extensor muscle, fascia and tendon of right ring finger at forearm level, subsequent encounter"
S56405S,"unspecified injury of extensor muscle, fascia and tendon of right ring finger at forearm level, sequela"
S56406A,"unspecified injury of extensor muscle, fascia and tendon of left ring finger at forearm level, initial encounter"
S56406D,"unspecified injury of extensor muscle, fascia and tendon of left ring finger at forearm level, subsequent encounter"
S56406S,"unspecified injury of extensor muscle, fascia and tendon of left ring finger at forearm level, sequela"
S56407A,"unspecified injury of extensor muscle, fascia and tendon of right little finger at forearm level, initial encounter"
S56407D,"unspecified injury of extensor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter"
S56407S,"unspecified injury of extensor muscle, fascia and tendon of right little finger at forearm level, sequela"
S56408A,"unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level, initial encounter"
S56408D,"unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level, subsequent encounter"
S56408S,"unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level, sequela"
S56409A,"unspecified injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56409D,"unspecified injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56409S,"unspecified injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56419A,"strain of extensor muscle, fascia and tendon of finger, unspecified finger at forearm level, initial encounter"
S56419D,"strain of extensor muscle, fascia and tendon of finger, unspecified finger at forearm level, subsequent encounter"
S56419S,"strain of extensor muscle, fascia and tendon of finger, unspecified finger at forearm level, sequela"
S56429A,"laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56429D,"laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56429S,"laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56499A,"other injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
S56499D,"other injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter"
S56499S,"other injury of extensor muscle, fascia and tendon of unspecified finger at forearm level, sequela"
S56501A,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, right arm, initial encounter"
S56501D,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, right arm, subsequent encounter"
S56501S,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, right arm, sequela"
S56502A,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, left arm, initial encounter"
S56502D,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, left arm, subsequent encounter"
S56502S,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, left arm, sequela"
S56509A,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56509D,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56509S,"unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56519A,"strain of other extensor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56519D,"strain of other extensor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56519S,"strain of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56529A,"laceration of other extensor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56529D,"laceration of other extensor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56529S,"laceration of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56599A,"other injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter"
S56599D,"other injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter"
S56599S,"other injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
S56801A,"unspecified injury of other muscles, fascia and tendons at forearm level, right arm, initial encounter"
S56801D,"unspecified injury of other muscles, fascia and tendons at forearm level, right arm, subsequent encounter"
S56801S,"unspecified injury of other muscles, fascia and tendons at forearm level, right arm, sequela"
S56802A,"unspecified injury of other muscles, fascia and tendons at forearm level, left arm, initial encounter"
S56802D,"unspecified injury of other muscles, fascia and tendons at forearm level, left arm, subsequent encounter"
S56802S,"unspecified injury of other muscles, fascia and tendons at forearm level, left arm, sequela"
S56809A,"unspecified injury of other muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56809D,"unspecified injury of other muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56809S,"unspecified injury of other muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56819A,"strain of other muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56819D,"strain of other muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56819S,"strain of other muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56829A,"laceration of other muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56829D,"laceration of other muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56829S,"laceration of other muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56899A,"other injury of other muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56899D,"other injury of other muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56899S,"other injury of other muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56901A,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm, initial encounter"
S56901D,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm, subsequent encounter"
S56901S,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm, sequela"
S56902A,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter"
S56902D,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, left arm, subsequent encounter"
S56902S,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, left arm, sequela"
S56909A,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56909D,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56909S,"unspecified injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56911A,"strain of unspecified muscles, fascia and tendons at forearm level, right arm, initial encounter"
S56911D,"strain of unspecified muscles, fascia and tendons at forearm level, right arm, subsequent encounter"
S56911S,"strain of unspecified muscles, fascia and tendons at forearm level, right arm, sequela"
S56912A,"strain of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter"
S56912D,"strain of unspecified muscles, fascia and tendons at forearm level, left arm, subsequent encounter"
S56912S,"strain of unspecified muscles, fascia and tendons at forearm level, left arm, sequela"
S56919A,"strain of unspecified muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56919D,"strain of unspecified muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56919S,"strain of unspecified muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56921A,"laceration of unspecified muscles, fascia and tendons at forearm level, right arm, initial encounter"
S56921D,"laceration of unspecified muscles, fascia and tendons at forearm level, right arm, subsequent encounter"
S56921S,"laceration of unspecified muscles, fascia and tendons at forearm level, right arm, sequela"
S56922A,"laceration of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter"
S56922D,"laceration of unspecified muscles, fascia and tendons at forearm level, left arm, subsequent encounter"
S56922S,"laceration of unspecified muscles, fascia and tendons at forearm level, left arm, sequela"
S56929A,"laceration of unspecified muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56929D,"laceration of unspecified muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56929S,"laceration of unspecified muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S56991A,"other injury of unspecified muscles, fascia and tendons at forearm level, right arm, initial encounter"
S56991D,"other injury of unspecified muscles, fascia and tendons at forearm level, right arm, subsequent encounter"
S56991S,"other injury of unspecified muscles, fascia and tendons at forearm level, right arm, sequela"
S56992A,"other injury of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter"
S56992D,"other injury of unspecified muscles, fascia and tendons at forearm level, left arm, subsequent encounter"
S56992S,"other injury of unspecified muscles, fascia and tendons at forearm level, left arm, sequela"
S56999A,"other injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, initial encounter"
S56999D,"other injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, subsequent encounter"
S56999S,"other injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm, sequela"
S5700XA,"crushing injury of unspecified elbow, initial encounter"
S5700XD,"crushing injury of unspecified elbow, subsequent encounter"
S5700XS,"crushing injury of unspecified elbow, sequela"
S5780XA,"crushing injury of unspecified forearm, initial encounter"
S5780XD,"crushing injury of unspecified forearm, subsequent encounter"
S5780XS,"crushing injury of unspecified forearm, sequela"
S58019A,"complete traumatic amputation at elbow level, unspecified arm, initial encounter"
S58019D,"complete traumatic amputation at elbow level, unspecified arm, subsequent encounter"
S58019S,"complete traumatic amputation at elbow level, unspecified arm, sequela"
